trade_date,value
2016-02-07,2.28
2016-02-14,2.1
2016-02-15,2.15
2016-02-16,2.44
2016-02-17,2.3791
2016-02-18,2.15
2016-02-19,2.22
2016-02-20,2.22
2016-02-22,2.27
2016-02-23,2.25
2016-02-24,2.4
2016-02-25,2.47
2016-02-26,2.4
2016-02-29,2.3
2016-03-01,2.42
2016-03-02,2.25
2016-03-03,2.25
2016-03-04,2.25
2016-03-05,2.25
2016-03-07,2.25
2016-03-08,2.24
2016-03-09,2.0
2016-03-10,2.23
2016-03-11,2.22
2016-03-14,2.25
2016-03-15,2.25
2016-03-16,2.39
2016-03-17,2.5
2016-03-18,2.51
2016-03-21,2.59
2016-03-22,2.5
2016-03-23,2.41
2016-03-24,2.45
2016-03-25,2.44
2016-03-28,2.7
2016-03-29,2.7
2016-03-30,2.9
2016-03-31,2.9
2016-04-01,2.32
2016-04-05,2.4
2016-04-06,2.25
2016-04-07,2.25
2016-04-08,2.0
2016-04-09,2.0
2016-04-11,2.28
2016-04-12,2.43
2016-04-13,2.4
2016-04-14,2.3
2016-04-15,2.3
2016-04-18,2.32
2016-04-19,2.14
2016-04-20,2.42
2016-04-21,2.55
2016-04-22,2.6
2016-04-25,2.3
2016-04-26,2.6
2016-04-27,2.51
2016-04-28,2.63
2016-04-29,2.25
2016-05-03,2.33
2016-05-04,2.45
2016-05-05,2.6
2016-05-06,2.43
2016-05-09,2.05
2016-05-10,2.35
2016-05-11,2.1
2016-05-12,2.1
2016-05-13,2.45
2016-05-16,2.44
2016-05-17,2.4
2016-05-18,2.55
2016-05-19,2.3
2016-05-20,2.28
2016-05-23,2.25
2016-05-24,2.1
2016-05-25,2.25
2016-05-26,2.5
2016-05-27,2.0
2016-05-30,2.55
2016-05-31,2.4
2016-06-01,2.4
2016-06-02,2.25
2016-06-03,2.37
2016-06-04,2.37
2016-06-06,2.1
2016-06-07,2.27
2016-06-08,2.26
2016-06-12,2.1
2016-06-13,2.35
2016-06-14,2.35
2016-06-15,2.25
2016-06-16,2.29
2016-06-17,2.25
2016-06-20,2.29
2016-06-21,2.3
2016-06-22,2.3
2016-06-23,2.38
2016-06-24,2.6
2016-06-27,2.46
2016-06-28,2.95
2016-06-29,2.8
2016-06-30,2.25
2016-07-01,2.37
2016-07-04,2.3
2016-07-05,2.36
2016-07-06,2.3
2016-07-07,2.29
2016-07-08,2.1
2016-07-09,2.1
2016-07-11,2.2
2016-07-12,2.2
2016-07-13,2.2
2016-07-14,2.41
2016-07-15,2.25
2016-07-16,2.25
2016-07-18,2.35
2016-07-19,2.43
2016-07-20,2.46
2016-07-21,2.46
2016-07-22,2.45
2016-07-25,2.66
2016-07-26,3.0
2016-07-27,2.5
2016-07-28,2.25
2016-07-29,2.0
2016-08-01,2.42
2016-08-02,2.25
2016-08-03,2.25
2016-08-04,2.34
2016-08-05,2.32
2016-08-08,2.35
2016-08-09,2.45
2016-08-10,2.53
2016-08-11,2.9
2016-08-12,2.4
2016-08-15,2.39
2016-08-16,2.43
2016-08-17,2.46
2016-08-18,2.5
2016-08-19,2.05
2016-08-22,2.47
2016-08-23,3.24
2016-08-24,2.5
2016-08-25,2.73
2016-08-26,2.4
2016-08-29,2.4
2016-08-30,2.45
2016-08-31,2.35
2016-09-01,2.1
2016-09-02,2.4
2016-09-05,2.3
2016-09-06,2.3
2016-09-07,2.3
2016-09-08,2.28
2016-09-09,2.5
2016-09-12,2.41
2016-09-13,2.6
2016-09-14,2.9
2016-09-18,2.4
2016-09-19,2.9
2016-09-20,2.25
2016-09-21,2.6
2016-09-22,2.4
2016-09-23,2.42
2016-09-26,2.5
2016-09-27,2.75
2016-09-28,2.9
2016-09-29,2.7
2016-09-30,2.58
2016-10-08,2.13
2016-10-09,2.28
2016-10-10,2.27
2016-10-11,2.09
2016-10-12,2.35
2016-10-13,2.31
2016-10-14,2.4
2016-10-17,2.36
2016-10-18,2.75
2016-10-19,2.95
2016-10-20,3.2
2016-10-21,2.2
2016-10-24,2.85
2016-10-25,2.55
2016-10-26,2.9
2016-10-27,3.0
2016-10-28,2.5
2016-10-31,2.8
2016-11-01,2.49
2016-11-02,2.3
2016-11-03,2.2
2016-11-04,2.3
2016-11-07,2.35
2016-11-08,2.3
2016-11-09,2.6
2016-11-10,2.65
2016-11-11,2.42
2016-11-14,2.6
2016-11-15,3.2
2016-11-16,2.56
2016-11-17,2.7
2016-11-18,2.7
2016-11-21,2.5
2016-11-22,3.0
2016-11-23,2.5
2016-11-24,2.55
2016-11-25,2.7
2016-11-28,2.7
2016-11-29,3.24
2016-11-30,2.5
2016-12-01,2.65
2016-12-02,2.45
2016-12-05,2.35
2016-12-06,2.3
2016-12-07,2.38
2016-12-08,2.4
2016-12-09,2.55
2016-12-12,2.5
2016-12-13,2.4
2016-12-14,3.2
2016-12-15,3.24
2016-12-16,3.24
2016-12-19,2.6
2016-12-20,2.55
2016-12-21,2.48
2016-12-22,2.54
2016-12-23,2.45
2016-12-26,2.47
2016-12-27,2.25
2016-12-28,2.4
2016-12-29,2.7
2016-12-30,2.6
2017-01-03,2.66
2017-01-04,2.8
2017-01-05,2.33
2017-01-06,1.9
2017-01-09,2.3
2017-01-10,2.35
2017-01-11,2.5
2017-01-12,2.32
2017-01-13,2.3
2017-01-16,3.2
2017-01-17,2.43
2017-01-18,3.24
2017-01-19,3.0
2017-01-20,2.5
2017-01-22,2.3
2017-01-23,2.45
2017-01-24,3.249
2017-01-25,3.24
2017-01-26,2.64
2017-02-03,2.55
2017-02-04,2.4
2017-02-06,2.65
2017-02-07,2.3
2017-02-08,2.65
2017-02-09,2.6
2017-02-10,2.38
2017-02-13,3.0
2017-02-14,3.25
2017-02-15,2.3
2017-02-16,3.34
2017-02-17,3.2
2017-02-20,3.3
2017-02-21,2.78
2017-02-22,3.34
2017-02-23,3.1
2017-02-24,3.0
2017-02-27,3.2
2017-02-28,3.3
2017-03-01,2.6
2017-03-02,2.43
2017-03-03,2.5
2017-03-06,2.8
2017-03-07,3.0
2017-03-08,2.6235
2017-03-09,2.73
2017-03-10,2.53
2017-03-13,2.81
2017-03-14,3.01
2017-03-15,3.1
2017-03-16,3.34
2017-03-17,3.44
2017-03-20,3.3
2017-03-21,5.5
2017-03-22,3.44
2017-03-23,3.3
2017-03-24,2.85
2017-03-27,2.7
2017-03-28,2.95
2017-03-29,3.44
2017-03-30,2.83
2017-03-31,3.17
2017-04-01,2.65
2017-04-05,3.2
2017-04-06,2.8
2017-04-07,2.8
2017-04-10,2.6
2017-04-11,2.58
2017-04-12,2.34
2017-04-13,2.65
2017-04-14,2.4
2017-04-17,3.4
2017-04-18,3.448
2017-04-19,2.7
2017-04-20,3.44
2017-04-21,3.29
2017-04-24,3.4
2017-04-25,4.0
2017-04-26,3.29
2017-04-27,3.44
2017-04-28,3.44
2017-05-02,3.2
2017-05-03,3.44
2017-05-04,3.2
2017-05-05,3.1
2017-05-08,3.3
2017-05-09,3.2
2017-05-10,3.44
2017-05-11,2.85
2017-05-12,2.6
2017-05-15,2.8
2017-05-16,3.44
2017-05-17,2.95
2017-05-18,2.8
2017-05-19,2.95
2017-05-22,2.82
2017-05-23,2.95
2017-05-24,2.74
2017-05-25,2.6
2017-05-26,3.44
2017-05-27,2.9
2017-05-31,3.44
2017-06-01,3.07
2017-06-02,3.0
2017-06-05,3.44
2017-06-06,3.4
2017-06-07,3.44
2017-06-08,2.88
2017-06-09,2.91
2017-06-12,3.4
2017-06-13,3.28
2017-06-14,3.2
2017-06-15,2.9
2017-06-16,2.8
2017-06-19,2.95
2017-06-20,3.44
2017-06-21,3.44
2017-06-22,2.96
2017-06-23,2.75
2017-06-26,2.76
2017-06-27,2.79
2017-06-28,2.83
2017-06-29,2.7
2017-06-30,2.5
2017-07-03,2.77
2017-07-04,2.8
2017-07-05,2.7
2017-07-06,2.73
2017-07-07,2.72
2017-07-10,2.8
2017-07-11,3.02
2017-07-12,2.8
