trade_date,value
2019-01-02,6.87817
2019-01-03,6.8818
2019-01-04,6.865735
2019-01-06,6.8668
2019-01-07,6.84706
2019-01-08,6.854945000000001
2019-01-09,6.81213
2019-01-10,6.793335000000001
2019-01-11,6.760005
2019-01-13,6.76255
2019-01-14,6.7630300000000005
2019-01-15,6.77361
2019-01-16,6.761865
2019-01-17,6.77656
2019-01-18,6.802804999999999
2019-01-20,6.803255
2019-01-21,6.801175000000001
2019-01-22,6.815405
2019-01-23,6.79363
2019-01-24,6.794585
2019-01-25,6.75267
2019-01-27,6.75625
2019-01-28,6.7550550000000005
2019-01-29,6.748225
2019-01-30,6.711405
2019-01-31,6.709495
2019-02-01,6.75682
2019-02-03,6.75523
2019-02-04,6.7778
2019-02-05,6.76281
2019-02-06,6.778214999999999
2019-02-07,6.784364999999999
2019-02-08,6.78517
2019-02-10,6.78518
2019-02-11,6.800275
2019-02-12,6.77397
2019-02-13,6.78336
2019-02-14,6.779355
2019-02-15,6.7704249999999995
2019-02-17,6.77359
2019-02-18,6.774005000000001
2019-02-19,6.7458100000000005
2019-02-20,6.71885
2019-02-21,6.726295
2019-02-22,6.70215
2019-02-24,6.7019
2019-02-25,6.68187
2019-02-26,6.686235
2019-02-27,6.6814
2019-02-28,6.70336
2019-03-01,6.712795
2019-03-03,6.7005
2019-03-04,6.706994999999999
2019-03-05,6.705445
2019-03-06,6.717525
2019-03-07,6.733755
2019-03-08,6.730729999999999
2019-03-10,6.733105
2019-03-11,6.73232
2019-03-12,6.70673
2019-03-13,6.7013300000000005
2019-03-14,6.7219999999999995
2019-03-15,6.713514999999999
2019-03-17,6.7123
2019-03-18,6.72089
2019-03-19,6.717625
2019-03-20,6.68749
2019-03-21,6.707174999999999
2019-03-22,6.72328
2019-03-24,6.7245
2019-03-25,6.716984999999999
2019-03-26,6.7233149999999995
2019-03-27,6.7382100000000005
2019-03-28,6.73956
2019-03-29,6.724125
2019-03-31,6.71765
2019-04-01,6.71921
2019-04-02,6.7258700000000005
2019-04-03,6.714475
2019-04-04,6.7172
2019-04-05,6.71085
2019-04-07,6.71009
2019-04-08,6.7173750000000005
2019-04-09,6.71896
