trade_date,symbol,warehouse,pre_vol,vol,vol_chg,fut_code
20190108,C,吉林云天化,8553.0,8553.0,0,C
20190108,C,嘉吉投资,1500.0,1500.0,0,C
20190108,C,瑞利控股,13500.0,13500.0,0,C
20190108,C,维维股份,1280.0,1280.0,0,C
20190108,C,良运库,2944.0,2944.0,0,C
20190108,C,营口港,2307.0,2307.0,0,C
20190108,C,锦州港,298.0,298.0,0,C
20190108,CU,上海裕强,0.0,0.0,0,CU
20190108,CU,上港物流,2973.0,2824.0,-149,CU
20190108,CU,上港物流苏州,0.0,0.0,0,CU
20190108,CU,世天威洋山,25.0,25.0,0,CU
20190108,CU,中储临港(保税),0.0,0.0,0,CU
20190108,CU,中储吴淞,3735.0,3635.0,-100,CU
20190108,CU,中储大场,224.0,224.0,0,CU
20190108,CU,中储无锡,10217.0,10217.0,0,CU
20190108,CU,中海华东宝山,1797.0,1496.0,-301,CU
20190108,CU,八三O黄浦,399.0,399.0,0,CU
20190108,CU,南储仓储,476.0,476.0,0,CU
20190108,CU,同盛松江,177.0,177.0,0,CU
20190108,CU,同盛洋山(保税),0.0,0.0,0,CU
20190108,CU,国储837处,4880.0,4654.0,-226,CU
20190108,CU,国储外高桥,0.0,0.0,0,CU
20190108,CU,国储天威,199.0,199.0,0,CU
20190108,CU,外运华东张华浜,25.0,25.0,0,CU
20190108,CU,宁波九龙仓,0.0,0.0,0,CU
20190108,CU,常州融达,6387.0,6387.0,0,CU
20190108,CU,无锡国联,1349.0,1349.0,0,CU
20190108,CU,期晟公司,0.0,0.0,0,CU
20190108,CU,江西国储,344.0,344.0,0,CU
20190108,CU,添马行物流,202.0,202.0,0,CU
20190108,CU,裕强闵行,1711.0,1711.0,0,CU
20190108,RB,上港物流共青,0.0,0.0,0,RB
20190108,RB,中储南京,0.0,0.0,0,RB
20190108,RB,中储塘沽,0.0,0.0,0,RB
20190108,RB,中储无锡,0.0,0.0,0,RB
20190108,RB,中储陆通,0.0,0.0,0,RB
20190108,RB,广物物流,0.0,0.0,0,RB
20190108,RB,康运宁波库,0.0,0.0,0,RB
20190108,RB,康运崇贤库,0.0,0.0,0,RB
20190108,RB,惠龙港,0.0,0.0,0,RB
20190108,RB,期晟万林,0.0,0.0,0,RB
20190108,RB,浙江康运,0.0,0.0,0,RB
20190108,RB,金驹物流,0.0,0.0,0,RB
20190108,SC,中化兴中,0.0,0.0,0,SC
20190108,SC,中国石化册子岛,201000.0,201000.0,0,SC
20190108,SC,中国石化日照,0.0,0.0,0,SC
20190108,SC,中油大榭,0.0,0.0,0,SC
20190108,SC,中油大连,300000.0,300000.0,0,SC
20190108,SC,中油湛江,2223000.0,2223000.0,0,SC
20190108,SC,洋山石油,0.0,0.0,0,SC
20190108,SC,青岛港董家口,0.0,0.0,0,SC
20190109,AU,上期所交割库,2460.0,2460.0,0,AU
20190109,C,北良港,8258.0,8258.0,0,C
20190109,C,吉林云天化,8553.0,11647.0,3094,C
20190109,C,嘉吉投资,1500.0,1500.0,0,C
20190109,C,瑞利控股,13500.0,13500.0,0,C
20190109,C,维维股份,1280.0,1280.0,0,C
20190109,C,良运库,2944.0,2944.0,0,C
20190109,C,营口港,2307.0,2307.0,0,C
20190109,C,锦州港,298.0,298.0,0,C
20190109,CU,上海裕强,0.0,0.0,0,CU
20190109,CU,上港物流,2824.0,2824.0,0,CU
20190109,CU,上港物流苏州,0.0,0.0,0,CU
20190109,CU,世天威洋山,25.0,25.0,0,CU
20190109,CU,中储临港(保税),0.0,0.0,0,CU
20190109,CU,中储吴淞,3635.0,3332.0,-303,CU
20190109,CU,中储大场,224.0,224.0,0,CU
20190109,CU,中储无锡,10217.0,10217.0,0,CU
20190109,CU,中海华东宝山,1496.0,1294.0,-202,CU
20190109,CU,八三O黄浦,399.0,399.0,0,CU
20190109,CU,南储仓储,476.0,476.0,0,CU
20190109,CU,同盛松江,177.0,177.0,0,CU
20190109,CU,同盛洋山(保税),0.0,0.0,0,CU
20190109,CU,国储837处,4654.0,4654.0,0,CU
20190109,CU,国储外高桥,0.0,0.0,0,CU
20190109,CU,国储天威,199.0,199.0,0,CU
20190109,CU,外运华东张华浜,25.0,25.0,0,CU
20190109,CU,宁波九龙仓,0.0,0.0,0,CU
20190109,CU,常州融达,6387.0,6387.0,0,CU
20190109,CU,无锡国联,1349.0,1349.0,0,CU
20190109,CU,期晟公司,0.0,0.0,0,CU
20190109,CU,江西国储,344.0,344.0,0,CU
20190109,CU,添马行物流,202.0,202.0,0,CU
20190109,CU,裕强闵行,1711.0,1711.0,0,CU
20190109,RB,上港物流共青,0.0,0.0,0,RB
20190109,RB,中储南京,0.0,0.0,0,RB
20190109,RB,中储塘沽,0.0,0.0,0,RB
20190109,RB,中储无锡,0.0,0.0,0,RB
20190109,RB,中储陆通,0.0,0.0,0,RB
20190109,RB,广物物流,0.0,0.0,0,RB
20190109,RB,康运宁波库,0.0,0.0,0,RB
20190109,RB,康运崇贤库,0.0,0.0,0,RB
20190109,RB,惠龙港,0.0,11808.0,11808,RB
20190109,RB,期晟万林,0.0,0.0,0,RB
20190109,RB,浙江康运,0.0,0.0,0,RB
20190109,RB,金驹物流,0.0,0.0,0,RB
20190109,SC,中化兴中,0.0,0.0,0,SC
20190109,SC,中国石化册子岛,201000.0,201000.0,0,SC
20190109,SC,中国石化日照,0.0,0.0,0,SC
20190109,SC,中油大榭,0.0,0.0,0,SC
20190109,SC,中油大连,300000.0,300000.0,0,SC
20190109,SC,中油湛江,2223000.0,2223000.0,0,SC
20190109,SC,洋山石油,0.0,0.0,0,SC
20190109,SC,青岛港董家口,0.0,0.0,0,SC
20190110,AU,上期所交割库,2460.0,2460.0,0,AU
20190110,C,北良港,8258.0,8258.0,0,C
20190110,C,吉林云天化,11647.0,11647.0,0,C
20190110,C,嘉吉投资,1500.0,1500.0,0,C
20190110,C,瑞利控股,13500.0,13500.0,0,C
20190110,C,维维股份,1280.0,1280.0,0,C
20190110,C,良运库,2944.0,2944.0,0,C
20190110,C,营口港,2307.0,2307.0,0,C
20190110,C,锦州港,298.0,298.0,0,C
20190110,CU,上海裕强,0.0,0.0,0,CU
20190110,CU,上港物流,2824.0,2824.0,0,CU
20190110,CU,上港物流苏州,0.0,0.0,0,CU
20190110,CU,世天威洋山,25.0,25.0,0,CU
20190110,CU,中储临港(保税),0.0,0.0,0,CU
20190110,CU,中储吴淞,3332.0,3307.0,-25,CU
20190110,CU,中储大场,224.0,224.0,0,CU
20190110,CU,中储无锡,10217.0,10217.0,0,CU
20190110,CU,中海华东宝山,1294.0,1571.0,277,CU
20190110,CU,八三O黄浦,399.0,399.0,0,CU
20190110,CU,南储仓储,476.0,476.0,0,CU
20190110,CU,同盛松江,177.0,177.0,0,CU
20190110,CU,同盛洋山(保税),0.0,0.0,0,CU
20190110,CU,国储837处,4654.0,4654.0,0,CU
20190110,CU,国储外高桥,0.0,0.0,0,CU
20190110,CU,国储天威,199.0,199.0,0,CU
20190110,CU,外运华东张华浜,25.0,25.0,0,CU
20190110,CU,宁波九龙仓,0.0,0.0,0,CU
20190110,CU,常州融达,6387.0,6387.0,0,CU
20190110,CU,无锡国联,1349.0,1349.0,0,CU
20190110,CU,期晟公司,0.0,0.0,0,CU
20190110,CU,江西国储,344.0,344.0,0,CU
20190110,CU,添马行物流,202.0,202.0,0,CU
20190110,CU,裕强闵行,1711.0,1711.0,0,CU
20190110,RB,上港物流共青,0.0,0.0,0,RB
20190110,RB,中储南京,0.0,0.0,0,RB
20190110,RB,中储塘沽,0.0,0.0,0,RB
20190110,RB,中储无锡,0.0,0.0,0,RB
20190110,RB,中储陆通,0.0,0.0,0,RB
20190110,RB,广物物流,0.0,0.0,0,RB
20190110,RB,康运宁波库,0.0,0.0,0,RB
20190110,RB,康运崇贤库,0.0,0.0,0,RB
20190110,RB,惠龙港,11808.0,17722.0,5914,RB
20190110,RB,期晟万林,0.0,0.0,0,RB
20190110,RB,浙江康运,0.0,0.0,0,RB
20190110,RB,金驹物流,0.0,0.0,0,RB
20190110,SC,中化兴中,0.0,0.0,0,SC
20190110,SC,中国石化册子岛,201000.0,201000.0,0,SC
20190110,SC,中国石化日照,0.0,0.0,0,SC
20190110,SC,中油大榭,0.0,0.0,0,SC
20190110,SC,中油大连,300000.0,300000.0,0,SC
20190110,SC,中油湛江,2223000.0,2223000.0,0,SC
20190110,SC,洋山石油,0.0,0.0,0,SC
20190110,SC,青岛港董家口,0.0,0.0,0,SC
20190111,AU,上期所交割库,2460.0,2460.0,0,AU
20190111,C,北良港,8258.0,8258.0,0,C
20190111,C,吉林云天化,11647.0,11647.0,0,C
20190111,C,嘉吉投资,1500.0,1500.0,0,C
20190111,C,瑞利控股,13500.0,13500.0,0,C
20190111,C,维维股份,1280.0,1280.0,0,C
20190111,C,良运库,2944.0,2944.0,0,C
20190111,C,营口港,2307.0,2307.0,0,C
20190111,C,锦州港,298.0,298.0,0,C
20190111,CU,上海裕强,0.0,0.0,0,CU
20190111,CU,上港物流,2824.0,3504.0,680,CU
20190111,CU,上港物流苏州,0.0,0.0,0,CU
20190111,CU,世天威洋山,25.0,25.0,0,CU
20190111,CU,中储临港(保税),0.0,0.0,0,CU
20190111,CU,中储吴淞,3307.0,3282.0,-25,CU
20190111,CU,中储大场,224.0,224.0,0,CU
20190111,CU,中储无锡,10217.0,10217.0,0,CU
20190111,CU,中海华东宝山,1571.0,1571.0,0,CU
20190111,CU,八三O黄浦,399.0,399.0,0,CU
20190111,CU,南储仓储,476.0,476.0,0,CU
