ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
NHCI.NH,20260430,3099.99,3085.05,3104.99,3075.53,3079.81,20.18,0.0066,13380426,20883081
NHCI.NH,20260429,3079.81,3077.57,3080.95,3064.64,3078.86,0.95,0.0003,13448258,21384797
NHCI.NH,20260428,3078.86,3076.9,3079.59,3059.24,3078.99,-0.13,0.0,15301362,21528375
NHCI.NH,20260427,3078.99,3059.2,3083.73,3056.73,3055.53,23.46,0.0077,13241738,21518239
NHCI.NH,20260424,3055.53,3058.79,3078.31,3053.68,3059.45,-3.92,-0.0013,13205974,21467321
NHCI.NH,20260423,3059.45,3064.58,3069.77,3051.18,3054.76,4.69,0.0015,14776058,21594204
NHCI.NH,20260422,3054.76,3036.27,3060.68,3035.21,3031.6,23.16,0.0076,14339637,21531650
NHCI.NH,20260421,3031.6,3035.31,3037.29,3021.84,3036.57,-4.97,-0.0016,13656431,21365756
NHCI.NH,20260420,3036.57,3007.22,3038.54,3003.21,3042.14,-5.57,-0.0018,17967854,21290399
NHCI.NH,20260417,3042.14,3044.46,3046.5,3030.66,3043.2,-1.06,-0.0003,14789405,21369091
NHCI.NH,20260416,3043.2,3018.81,3044.7,3018.81,3016.6,26.6,0.0088,15522290,21345127
NHCI.NH,20260415,3016.6,3011.29,3024.25,3003.07,3016.65,-0.05,0.0,15102443,21081017
NHCI.NH,20260414,3016.65,3010.59,3016.76,2996.95,3006.74,9.91,0.0033,14484348,21079671
NHCI.NH,20260413,3006.74,2986.49,3016.03,2980.71,2985.88,20.86,0.007,15578378,20965141
NHCI.NH,20260410,2985.88,3005.96,3005.96,2983.82,2991.21,-5.33,-0.0018,16608330,20994071
NHCI.NH,20260409,2991.21,2976.19,3001.7,2974.16,2990.58,0.63,0.0002,14082430,20748107
NHCI.NH,20260408,2990.58,3058.39,3062.85,2974.48,3061.32,-70.74,-0.0231,19343254,20615936
NHCI.NH,20260407,3061.32,3070.0,3075.63,3060.7,3065.99,-4.67,-0.0015,12819070,20918757
NHCI.NH,20260403,3065.99,3091.47,3091.47,3041.48,3055.49,10.5,0.0034,17358805,20465522
NHCI.NH,20260402,3055.49,3030.96,3069.46,3018.62,3012.73,42.76,0.0142,19590895,20448930
NHCI.NH,20260401,3012.73,3087.13,3095.12,3011.19,3074.62,-61.89,-0.0201,20164026,20210805
NHCI.NH,20260331,3074.62,3100.44,3108.18,3068.26,3102.9,-28.28,-0.0091,17644112,20103372
NHCI.NH,20260330,3102.9,3077.97,3113.14,3075.62,3073.18,29.72,0.0097,18498797,20248026
NHCI.NH,20260327,3073.18,3070.3,3076.26,3047.42,3058.4,14.78,0.0048,16039505,20183908
NHCI.NH,20260326,3058.4,3059.02,3071.59,3045.13,3052.19,6.21,0.002,16164924,20124898
NHCI.NH,20260325,3052.19,3058.1,3066.15,3021.08,3049.76,2.43,0.0008,17785458,19753145
