trade_date,main_ts_code,main_open,main_high,main_low,main_close,main_settle,main_pre_close,main_pre_settle,main_change1,main_change2,main_vol,main_amount,main_oi,main_oi_chg,main_days_to_expiry,main_volume_share,main_oi_share,active_contract_count,second_main_ts_code,second_main_close,second_main_settle,second_main_oi,second_main_main_spread,near_ts_code,near_close,near_settle,near_days_to_expiry,main_near_spread,far_ts_code,far_close,far_settle,far_days_to_expiry,far_near_spread,annualized_carry,term_structure_slope,top20_long_sum,top20_short_sum,top20_long_chg,top20_short_chg,broker_count,top5_long_sum,top5_short_sum,long_short_imbalance,long_concentration,short_concentration,warehouse_receipt_total,warehouse_receipt_change,warehouse_count
2019-01-02,CU1903.SHF,47960.0,48150.0,47610.0,47620.0,47860.0,48310.0,48140.0,-520.0,-280.0,91476,2189214.72,167238,23042.0,72,0.3203457139455234,0.33502678403295016,12,CU1902.SHF,47680.0,47900.0,142204,60.0,CU1901.SHF,47670.0,47870.0,13,-50.0,CU1912.SHF,47770.0,48010.0,348,100.0,0.002285614094411431,0.0022832201121632083,47370.0,57736.0,3917.0,6861.0,35.0,21248.0,27409.0,-0.09862424599927692,0.44855393709098584,0.47472980462796177,36148.0,-50.0,24.0
2019-01-03,CU1903.SHF,47180.0,47460.0,46960.0,47310.0,47210.0,47620.0,47860.0,-550.0,-650.0,225040,5312986.92,183262,16024.0,71,0.3967364093450958,0.35711891622236774,12,CU1902.SHF,47330.0,47240.0,135178,20.0,CU1901.SHF,47320.0,47280.0,12,-10.0,CU1912.SHF,47430.0,47320.0,347,110.0,0.002532771476514236,0.002529832192376276,50697.0,61383.0,4979.0,3882.0,38.0,21768.0,28779.0,-0.09534261241970021,0.42937451920231967,0.4688431650456967,36148.0,0.0,24.0
2019-01-04,CU1903.SHF,47200.0,47370.0,46210.0,47140.0,46760.0,47310.0,47210.0,-70.0,-450.0,348086,8139877.41,201274,18012.0,70,0.5032326152956484,0.37560088976471995,12,CU1902.SHF,47180.0,46810.0,127934,40.0,CU1901.SHF,47230.0,46830.0,11,-90.0,CU1912.SHF,47280.0,46810.0,346,50.0,0.001153453566383741,0.0011528434456216398,54201.0,66181.0,4865.0,5853.0,40.0,22432.0,31745.0,-0.09951653901746108,0.41386690282467115,0.47966939151720284,35898.0,-250.0,24.0
2019-01-07,CU1903.SHF,47140.0,47680.0,46810.0,47430.0,47290.0,47140.0,46760.0,670.0,530.0,301244,7124135.14,195338,-5936.0,67,0.5702419577719138,0.3759724686943032,12,CU1902.SHF,47450.0,47310.0,120672,20.0,CU1901.SHF,47450.0,47380.0,8,-20.0,CU1912.SHF,47600.0,47430.0,343,150.0,0.003444316877152656,0.0034388841976855365,53064.0,65436.0,-947.0,-372.0,36.0,22374.0,31680.0,-0.10440506329113924,0.4216417910447761,0.48413717219878966,35120.0,-778.0,24.0
2019-01-08,CU1903.SHF,47380.0,47510.0,47230.0,47340.0,47360.0,47430.0,47290.0,50.0,70.0,167112,3957867.2,190932,-4406.0,66,0.5645561238623541,0.37208849116023823,12,CU1902.SHF,47350.0,47360.0,117636,10.0,CU1901.SHF,47340.0,47350.0,7,0.0,CU1912.SHF,47510.0,47410.0,342,170.0,0.003912629501415676,0.0039056210634093496,52670.0,63422.0,12.0,-2014.0,37.0,22108.0,29372.0,-0.09261620094407884,0.41974558572242265,0.4631200529784617,34344.0,-776.0,24.0
2019-01-09,CU1903.SHF,47420.0,47820.0,47260.0,47680.0,47540.0,47340.0,47360.0,320.0,180.0,233952,5562139.88,182080,-8852.0,65,0.6038592977275777,0.3647625877950374,12,CU1902.SHF,47650.0,47560.0,116162,-30.0,CU1901.SHF,47630.0,47600.0,6,50.0,CU1912.SHF,47700.0,47660.0,341,70.0,0.0016012734981403242,0.0016000979843499,50478.0,60296.0,-1212.0,-2002.0,35.0,22182.0,28162.0,-0.08863090616931771,0.43943896350885536,0.46706249170757597,33839.0,-505.0,24.0
2019-01-10,CU1903.SHF,47730.0,47740.0,47380.0,47510.0,47540.0,47680.0,47540.0,-30.0,0.0,185460,4408756.96,182636,556.0,64,0.5751732094454196,0.36571964084038866,12,CU1902.SHF,47500.0,47500.0,116164,-10.0,CU1901.SHF,47450.0,47460.0,5,60.0,CU1912.SHF,47560.0,47570.0,340,110.0,0.0025258323765786628,0.002522909163657142,49823.0,62350.0,70.0,2402.0,39.0,21822.0,29638.0,-0.11167571518992984,0.4379904863215784,0.4753488372093023,34091.0,252.0,24.0
2019-01-11,CU1903.SHF,47340.0,47350.0,46970.0,47320.0,47180.0,47510.0,47540.0,-220.0,-360.0,224400,5293979.75,193152,10516.0,63,0.5668069370702851,0.37652929938789037,12,CU1902.SHF,47290.0,47170.0,115356,-30.0,CU1901.SHF,47270.0,47180.0,4,50.0,CU1912.SHF,47310.0,47260.0,339,40.0,0.0009219820087210259,0.0009215921368292669,51423.0,66549.0,1904.0,5506.0,37.0,22542.0,31762.0,-0.12821686501881802,0.43836415611691265,0.47727238576086795,34671.0,580.0,24.0
2019-01-14,CU1903.SHF,47150.0,47270.0,46730.0,46890.0,47030.0,47320.0,47180.0,-290.0,-150.0,233818,5498570.97,211898,18746.0,60,0.5655564424449121,0.3941672371201524,12,CU1902.SHF,46900.0,47030.0,111762,10.0,CU1901.SHF,46850.0,47000.0,1,40.0,CU1912.SHF,46970.0,47000.0,336,120.0,0.002790742127144468,0.002787174162335788,55580.0,74285.0,5236.0,8107.0,37.0,24156.0,37212.0,-0.14403418935047935,0.4346167686218064,0.5009355859190954,37222.0,2551.0,24.0
2019-01-15,CU1903.SHF,46830.0,47080.0,46690.0,47000.0,46880.0,46890.0,47030.0,-30.0,-150.0,172170,4036486.04,207730,-4168.0,59,0.5735940831556503,0.3828715086681977,12,CU1902.SHF,46990.0,46920.0,111354,-10.0,CU1902.SHF,46990.0,46920.0,31,10.0,CU1912.SHF,47030.0,46990.0,335,40.0,0.001022053964449386,0.0010216192020223523,56596.0,73240.0,1878.0,-1045.0,38.0,24243.0,37365.0,-0.12819248898610555,0.4283518269842392,0.5101720371381758,38224.0,1002.0,24.0
2019-01-16,CU1903.SHF,46920.0,47430.0,46890.0,47380.0,47160.0,47000.0,46880.0,500.0,280.0,225524,5318641.72,208056,326.0,58,0.5144932495631265,0.3664441587262448,12,CU1904.SHF,47340.0,47130.0,109978,-40.0,CU1902.SHF,47390.0,47170.0,30,-10.0,CU2001.SHF,47330.0,47250.0,364,-60.0,-0.0013836012296992255,-0.001384477851464655,57511.0,72862.0,3312.0,96.0,33.0,23364.0,35098.0,-0.11774677272134568,0.406252716871555,0.48170514122587904,37016.0,-1208.0,24.0
2019-01-17,CU1903.SHF,47340.0,47490.0,47220.0,47380.0,47360.0,47380.0,47160.0,220.0,200.0,158182,3746252.65,204508,-3548.0,57,0.5361520106293555,0.3572741312201701,12,CU1904.SHF,47370.0,47340.0,113742,-10.0,CU1902.SHF,47350.0,47360.0,29,30.0,CU2001.SHF,47390.0,47320.0,363,40.0,0.0009231800390771854,0.0009227903197741638,57294.0,72464.0,-174.0,-398.0,34.0,22570.0,34894.0,-0.11690994004223246,0.3939330470904458,0.4815356590858909,36916.0,-100.0,24.0
2019-01-18,CU1903.SHF,47350.0,47930.0,47230.0,47860.0,47630.0,47380.0,47360.0,500.0,270.0,213558,5086809.03,198828,-5680.0,56,0.5486453296886802,0.3511323660304319,12,CU1904.SHF,47840.0,47620.0,110946,-20.0,CU1902.SHF,47820.0,47670.0,28,40.0,CU2001.SHF,47840.0,47620.0,362,20.0,0.0004570532711239839,0.00045695771991654903,56816.0,69252.0,-412.0,-2944.0,36.0,22250.0,32815.0,-0.09864517561950693,0.3916150380174599,0.4738491307110264,36264.0,-652.0,24.0
2019-01-21,CU1903.SHF,47930.0,48300.0,47690.0,47800.0,47950.0,47860.0,47630.0,170.0,320.0,223964,5369570.45,194574,-4254.0,53,0.5654057438300278,0.34630088419973515,12,CU1904.SHF,47770.0,47900.0,113128,-30.0,CU1902.SHF,47730.0,47870.0,25,70.0,CU2001.SHF,47760.0,47890.0,359,30.0,0.0006868726406394676,0.000686656869124587,55700.0,67822.0,-1104.0,-514.0,35.0,21115.0,32754.0,-0.09813636437233852,0.37908438061041294,0.4829406387307953,36114.0,-150.0,24.0
